English|Bangali|Arabic|Chinese|French|German|Hindi|Italian|Japanese|Spanish
aberrant|নীতিভ্রষ্ট|شاذ|异常|aberrant|abwegig|धर्मपथ से हटनेवाला|aberrante|異常な|aberrante
aberration|স্খলন|انحراف|像差|aberration|Abweichung|विपथन|aberrazione|収差|aberración
abstain|বিরত থাকা|امتنع|避免|abstention|verzichten|बचना|astenersi|棄権する|abstenerse
abstruse|দুর্বোধ্য|مبهم|奥|abstrus|abstrus|अव्यक्त|astruso|乱暴|abstruso
accolade|প্রশংসা|احتضان|荣誉|accolade|Akkolade|सम्मान|encomio|称賛|espaldarazo
acerbic|acerbic|لاذع|尖刻|acerbe|erbittert|एसिड|acerbic|大動脈|acerbo
acrimony|মেজাজ আচরণ ভাষা প্রভৃতির রুক্ষতা|حدة|恶语相向|acrimonie|Bitterkeit|रूखापन|acrimonia|エイモン|acritud
adamant|হীরক|عنيد|坚决|catégorique|unnachgiebig|अटल|inflessibile|固執する|firme
admonish|সতর্ক করা|عاتب|谏|avertir|ermahnen|धिक्कारना|ammonire|勧める|amonestar
admonitory|সতর্ক করে এমন|إرشاديا|警示|admonitoire|warnend|भर्त्सक|ammonitorio|告発|admonitorio
aesthete|কলাবিদ্যবিশারদ|الذواقة|审美家|esthète|Ästhet|सौंदर्य-विज्ञान का मतावलंबी|esteta|エステート|esteta
aesthetic|নান্দনিক|جمالي|审美|esthétique|ästhetisch|सौंदर्य|estetico|美的|estético
aesthetic|নান্দনিক|جمالي|审美|esthétique|ästhetisch|सौंदर्य|estetico|美的|estético
amalgam|মিশ্রণ|ملغم|汞合金|amalgame|Amalgam|मिश्रण|amalgama|アマルガム|amalgama
ambiguous|দ্ব্যর্থক|غامض|暧昧|ambigu|mehrdeutig|अस्पष्ट|ambiguo|あいまいな|ambiguo
ambivalent|পরস্পরবিরোধী|متردد|矛盾|ambivalent|ambivalent|उभयभावी|ambivalente|相反する|ambivalente
ameliorate|উন্নয়নসাধন করা|تحسن|改善|améliorer|verbessern|सुधारना|migliorare|改善する|mejorar
amenable|এক্তিয়ারভুক্ত|قابل|适合|convenable|zugänglich|वश्य|docile|従順な|dócil
amorphous|নিরাকার|عديم الشكل|非晶|amorphe|amorph|अनाकार|amorfo|アモルファス|amorfo
anomalous|ব্যতিক্রমী|شاذ|异常的|anormal|anomal|नियमविरूद्ध|anomalo|異常|anómalo
anomaly|ব্যতিক্রম|شذوذ|不规则|anomalie|Anomalie|विसंगति|anomalia|異常|anomalía
antipathy|বিদ্বেষ|كراهية|反感|antipathie|Antipathie|घृणा|antipatia|反感|antipatía
antithetical|বিরূদ্ধ|متناقض|对立的|antithétique|antithetisch|विरोधात्मक|antitetico|対称|antitético
apathetic|উদাসী|لا مبالي|麻木不仁|apathique|apathisch|उदासीन|apatico|無愛想|apático
apathy|ঔদাসীন্য|لا مبالاة|暮气|apathie|Apathie|उदासीनता|apatia|無関心|apatía
apocryphal|অপ্রামাণিক|مشكوك بأمر|杜撰|apocryphe|apokryph|शंकायुक्त|apocrifo|偽の|apócrifo
appease|প্রশমিত করা|استرضاء|安抚|apaiser|beschwichtigen|खुश|placare|なだめる|apaciguar
arbitrary|অবাধ|اعتباطيا|随意|arbitraire|willkürlich|मनमाना|arbitrario|任意|arbitrario
arcane|রহস্যময়|غامضة|神秘|ésotérique|geheimnisvoll|भेद का|arcano|秘密|arcano
arduous|শ্রমসাধ্য|شاق|艰巨|difficile|beschwerlich|कठिन|arduo|つらい|arduo
artful|ছলনাময়|داهية|巧|astucieux|kunstvoll|धूर्त|abile|巧みな|ingenioso
artful|ছলনাময়|داهية|巧|astucieux|kunstvoll|धूर्त|abile|巧みな|ingenioso
ascetic|তপস্বী|زاهد|苦行者|ascétique|Asket|तपस्वी|ascetico|禁欲的な|ascético
ascetic|তপস্বী|زاهد|苦行者|ascétique|Asket|तपस्वी|ascetico|禁欲的な|ascético
askance|বক্রভাবে|بارتياب|怀疑地|passance|schief|कनखियों से|di traverso|頼む|de reojo
audacious|দু: সাহসী|جريء|胆大|audacieux|kühn|साहसी|audace|大胆な|audaz
audacity|স্পর্ধা|الجرأة|大胆|l&#39;audace|Kühnheit|धृष्टता|audacia|大胆|audacia
auspicious|সুপ্রসন্ন|ميمون|吉祥|de bon augure|glückverheißend|शुभ क|fausto|幸運な|propicio
austere|উগ্র|متزمت|简朴的|austère|streng|सीधा-सादा|austero|厳しい|austero
austere|উগ্র|متزمت|简朴的|austère|streng|सीधा-सादा|austero|厳しい|austero
austere|উগ্র|متزمت|简朴的|austère|streng|सीधा-सादा|austero|厳しい|austero
avaricious|লালস|بخيل|贪婪|avare|habgierig|लालची|avaro|貪欲な|avaro
banal|বস্তাপচা|تافه|平庸|banal|banal|तुच्छ|banale|平凡な|banal
banality|তুচ্ছতা|تفاهة|平庸|banalité|Banalität|साधारणता|banalità|平凡|banalidad
belie|মিথ্যাবাদী বলে|تكذب|叶公好龙|démentir|belügen|झुठलाना|smentire|信じる|desmentir
belligerent|যুধ্যমান|محارب|交战的|belligérant|kriegerisch|युद्धरत|belligerante|交戦国|beligerante
